City ID,City Name,Country,Date,Humidity,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed
607610,Zhanaozen,KZ,1572044250,34,43.35,52.85,50.81,0,10.0
2449893,Tessalit,ML,1572044252,20,20.2,1.01,80.71,2,16.33
2015306,Tiksi,RU,1572044254,90,71.64,128.87,3.69,22,7.25
5855927,Hilo,US,1572044255,74,19.71,-155.08,80.6,90,9.17
1259385,Port Blair,IN,1572044114,74,11.67,92.75,83.43,3,9.89
2729907,Longyearbyen,NO,1572044259,85,78.22,15.63,21.2,75,5.82
3896218,Castro,CL,1572044260,100,-42.48,-73.76,53.6,90,12.75
2119447,Yuzhno-Kurilsk,RU,1572044262,84,44.03,145.86,51.69,100,26.08
3652764,Puerto Ayora,EC,1572044263,65,-0.74,-90.35,77.0,66,20.8
3995005,Nazas,MX,1572044265,48,25.22,-104.11,55.13,12,10.11
4972220,Millinocket,US,1572044267,70,45.66,-68.71,46.99,20,2.17
6167817,Torbay,CA,1572044268,81,47.66,-52.73,46.99,20,12.75
3932145,Pisco,PE,1572044270,30,-13.71,-76.2,71.6,0,21.92
167357,Manbij,SY,1572044272,57,36.53,37.96,51.8,1,2.93
73560,Lahij,YE,1572044273,54,13.06,44.88,77.16,12,2.21
554894,Izberbash,RU,1572044275,87,42.57,47.86,53.6,40,6.71
5106834,Albany,US,1572044276,62,42.65,-73.75,53.6,90,4.7
2063523,Perth,AU,1572044242,93,-31.95,115.86,62.01,0,4.7
5742974,North Bend,US,1572044280,93,43.41,-124.22,63.0,75,17.22
3172402,Nago,IT,1572044281,93,45.88,10.89,59.0,4,3.36
5905393,Bonavista,CA,1572044283,86,48.65,-53.11,45.0,65,5.99
3445993,Tubarao,BR,1572044285,82,-28.47,-49.01,65.17,71,1.63
1282256,Hithadhoo,MV,1572044286,79,-0.6,73.08,81.34,100,13.53
4407665,Kodiak,US,1572044288,43,39.95,-94.76,52.0,1,3.36
6316343,Alta Floresta,BR,1572044289,73,-9.87,-56.08,77.38,33,4.97
3833859,Barrow,AR,1572044291,83,-38.31,-60.23,52.56,12,3.89
3533462,Acapulco,MX,1572044293,79,16.86,-99.88,84.2,75,4.7
